moduleCode,moduleName,examCode,examLink,year
AP1016,POLITICAL SCIENCE PAPER,AP1016-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1016-2.PDF,2018
AP1017,PSYCHOLOGY PAPER,AP1017-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1017-2.PDF,2018
AP1018,SOCIOLOGY AND SOCIAL POLICY,AP1018-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1018-2.PDF,2018
AP1022,MATHEMATICS AND STATISTICS,AP1022-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1022-2.PDF,2018
AP1023,MATHEMATICS FOR SCIENCES,AP1023-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1023-2.PDF,2018
AP1025,ENGLISH PAPER 1,AP1025-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1025-2.PDF,2018
AP1025,ENGLISH PAPER 2,AP1025-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1025-3.PDF,2018
AP1027,HISTORY PAPER 1,AP1027-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1027-2.PDF,2018
AP1027,HISTORY PAPER 2,AP1027-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1027-3.PDF,2018
AP1030,BIOLOGY 2,AP1030-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1030-2.PDF,2018
AP1030,BIOLOGY B PAPER 2,AP1030-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1030-3.PDF,2018
BI2RT1,BIOCHEMISTRY (SF RT),BI2RT1-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI2RT1-2.PDF,2018
BI3010,JS BIOCHEMISTRY & JS MOLECULAR MEDICINE PAPER 3,BI3010-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3010-2.PDF,2018
BI3110,JS BIOCHEMISTRY PAPER 1,BI3110-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3110-2.PDF,2018
BI3120,JS BIOCHEMISTRY PAPER 2,BI3120-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3120-2.PDF,2018
BI3140,JS BIOCHEMISTRY PAPER 4,BI3140-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3140-2.PDF,2018
BI3210,JS IMMUNOLOGY PAPER 1,BI3210-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3210-2.PDF,2018
BI3220,JS IMMUNOLOGY PAPER 4,BI3220-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3220-2.PDF,2018
BI3230,JS IMMUNOLOGY PAPER 3,BI3230-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3230-2.PDF,2018
BI3240,JS IMMUNOLOGY PAPER 2,BI3240-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3240-2.PDF,2018
BI3310,JS MOLECULAR MEDICINE PAPER 1,BI3310-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3310-2.PDF,2018
BI3320,JS MOLECULAR MEDICINE PAPER 2,BI3320-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3320-2.PDF,2018
BI3330,JS MOLECULAR MEDICINE PAPER 4,BI3330-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3330-2.PDF,2018
BI3415,BIOCHEMISTRY IN HEALTH & DISEASE (NEUROSCIENCE),BI3415-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3415-1.PDF,2018
BI3425,NUCLEIC ACIDS (NEUROSCIENCE),BI3425-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3425-1.PDF,2018
BI3445,NEUROCHEMISTRY I,BI3445-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3445-1.PDF,2018
BI3510,FUNDAMENTAL AND APPLIED IMMUNOLOGY (HHD),BI3510-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3510-3.PDF,2018
BI3525,SIGNAL TRANSDUCTION AND GENE REGULATION (HHD),BI3525-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3525-2.PDF,2018
BI3945,BIOCHEMISTRY (INTERNATIONAL) PAPER 3,BI3945-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3945-1.PDF,2018
